KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
domestic flight cancellation policy,10,880,10,-99%,Travel - Cancellation,Health & Safety
how to change flight time on delta,10,10,0,-100%,Travel - Airline - Change - Question,Travel Distruption
can i change my delta flight time,10,10,0,-100%,Travel - Airline - Change - Question,Travel Distruption
aircraft cabin cleaning checklist,0,10,0,-100%,Travel - Airline - Cleanliness,Health & Safety
united airlines rebooking number,10,20,0,-100%,Travel - Airline - Fees - Rebooking,Financial Hardship
us air travel alert,0,10,0,-100%,Travel - Airline - News,Financial Hardship
cancellation compensation,10,10,0,-100%,Travel - Arline - Cancellation - Compensation,Financial Hardship
am i entitled to compensation for a cancelled flight,10,10,0,-100%,Travel - Arline - Cancellation - Compensation - Question,Financial Hardship
can you get compensation for cancelled flight,10,10,0,-100%,Travel - Arline - Cancellation - Compensation - Question,Financial Hardship
coronavirus flight cancellation,"3,600","8,100",0,-100%,Travel - Cancellation,Health & Safety
air travel compensation,10,10,0,-100%,Travel - Cancellation,Financial Hardship
airline compensation rules,70,20,0,-100%,Travel - Cancellation - Compensation,Financial Hardship
airline late departure compensation,10,10,0,-100%,Travel - Cancellation - Compensation,Financial Hardship
extraordinary circumstances flight cancellation,10,10,0,-100%,Travel - Cancellation - Compensation,Financial Hardship
travel insurance cover trip cancellation,20,20,0,-100%,Travel - Cancellation - Insurance,Financial Hardship
travel insurance with high cancellation cover,10,10,0,-100%,Travel - Cancellation - Insurance,Financial Hardship
travel medical and trip cancellation insurance,10,10,0,-100%,Travel - Cancellation - Insurance,Financial Hardship
to claim compensation,0,10,0,-100%,Travel - Compensation,Financial Hardship
airfare compensation,10,10,0,-100%,Travel - Compensation,Financial Hardship
plane late compensation,10,10,0,-100%,Travel - Compensation,Financial Hardship
monarch flight compensation,10,10,0,-100%,Travel - Compensation,Financial Hardship
coronavirus airport,"8,100","40,500",0,-100%,Travel - Corona Virus,Health & Safety
coronavirus travel restrictions,"40,500","135,000",0,-100%,Travel - Corona Virus - Restriction,Travel Distruption
cost of rebooking a flight,10,10,0,-100%,Travel - Fees - Rebooking - Question,Financial Hardship
how to rebook plane ticket,10,10,0,-100%,Travel - Fees - Rebooking - Question,Financial Hardship
i want to cancel my hotel booking,0,10,0,-100%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation policy in india,0,10,0,-100%,Travel - Hotel - Cancellation,Financial Hardship
can i cancel a hotel booking,10,10,0,-100%,Travel - Hotel - Cancellation,Financial Hardship
hotel cancellation rights,10,10,0,-100%,Travel - Hotel - Cancellation,Financial Hardship
how to cancel your hotel reservation,10,10,0,-100%,Travel - Hotel - Cancellation,Financial Hardship
how to avoid cancellation fees hotel,10,10,0,-100%,Travel - Hotel - Cancellation,Financial Hardship
how to cancel a non refundable hotel booking,40,40,0,-100%,Travel - Hotel - Refund,Financial Hardship
cancel a non refundable hotel,10,20,0,-100%,Travel - Hotel - Refund,Financial Hardship
how to cancel a nonrefundable hotel reservation,0,10,0,-100%,Travel - Hotel - Refund,Financial Hardship
hotel booking refund policy,10,10,0,-100%,Travel - Hotel - Refund,Financial Hardship
cover my trip travel insurance,10,10,0,-100%,Travel - Insurance,Financial Hardship
travel insurance coronavirus,"9,900","14,800",0,-100%,Travel - Insurance - Corona Virus,Health & Safety
countries on the new travel ban,10,10,0,-100%,Travel - News,Health & Safety
cancel return flight refund,10,10,0,-100%,Travel - Refund,Financial Hardship
unused flight ticket refund,10,10,0,-100%,Travel - Refund,Financial Hardship
cheap refundable flight tickets,10,10,0,-100%,Travel - Refund,Financial Hardship
world's safest airport,10,10,0,-100%,Travel - Safe,Health & Safety
safe air travels,10,10,0,-100%,Travel - Safe,Health & Safety
health conditions that prevent flying,10,10,0,-100%,Travel - Safe,Health & Safety
airline passenger safety tips,10,10,0,-100%,Travel - Safe,Health & Safety
health and safety airport,10,10,0,-100%,Travel - Safe,Health & Safety
countries banned in travel ban,10,10,0,-100%,Travel - Travel Ban,Health & Safety
countries that are banned from entering us,10,10,0,-100%,Travel - Travel Ban,Health & Safety
which countries on travel ban,10,30,0,-100%,Travel - Travel Ban - Question - Question,Health & Safety
us waiver application form,10,10,0,-100%,Travel - Waivers,Financial Hardship
united airlines storm cancellations,10,0,0,,Travel - Airline - Cancellation,Health & Safety
term cash refund,10,0,10,,Travel - Airline - Cancellation - Refund,Financial Hardship
air flight compensation,10,0,0,,Travel - Cancellation,Financial Hardship
travel insurance including flight cancellation,10,0,10,,Travel - Cancellation - Insurance,Financial Hardship
plane compensation,10,0,0,,Travel - Compensation,Financial Hardship
rebooking of flight,10,0,10,,Travel - Fees - Rebooking,Financial Hardship
ticket rebooking fee,10,0,0,,Travel - Fees - Rebooking,Financial Hardship
easy hotel cancellation,10,0,0,,Travel - Hotel - Cancellation,Financial Hardship
hotel booking cancellation charges,10,0,0,,Travel - Hotel - Cancellation,Financial Hardship
hotel booking cancellation mail,10,0,10,,Travel - Hotel - Cancellation,Financial Hardship
non refundable room hotels,10,0,0,,Travel - Hotel - Refund,Financial Hardship
tax refund hotel,10,0,10,,Travel - Hotel - Refund,Financial Hardship
what is not covered under travel insurance,10,0,10,,Travel - Insurance,Financial Hardship
non refundable flight ticket booking,10,0,0,,Travel - Refund,Financial Hardship
air travel and health,10,0,0,,Travel - Safe,Health & Safety
safety measures at the airport,10,0,0,,Travel - Safe,Health & Safety
safety rules in aeroplane,10,0,0,,Travel - Safe,Health & Safety
