KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV APR 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
can i get overdraft fees waived,110,140,90,-36%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
hardship loans near me,110,140,90,-36%,Finance - Banking - Loans - Hardship,Financial Hardship
can i pay my bills with a credit card,140,140,90,-36%,Finance - Banking - Funds Return - Question,Financial Hardship
small business payroll services review,30,110,70,-36%,Finance - Banking Payroll,Financial Hardship
tax refund relief,10,110,70,-36%,Finance - Banking - Tax Relief,Financial Hardship
what happens if you can t pay your bills,20,110,70,-36%,Finance - Banking - Tax Relief - Question,Financial Hardship
can t pay my credit card bill,50,110,70,-36%,Finance - Banking - Funds Return - Can't,Financial Hardship
can t pay my credit card bills,50,110,70,-36%,Finance - Banking - Funds Return - Can't,Financial Hardship
emergency hardship loans,50,110,70,-36%,Finance - Banking - Loans,Financial Hardship
credit protection insurance,70,110,70,-36%,Finance - Banking - Credit - Protection,Financial Hardship
cash accepting atm near me,90,110,70,-36%,Finance - Banking - ATM - Near Me,Money Mangement
401k early penalty,110,110,70,-36%,Finance - Banking - Early Withdrawal - 401k,Financial Hardship
can i make my car payment with a credit card,110,110,70,-36%,Finance - Banking - Funds Return - Question,Financial Hardship
how do i prove undue hardship for student loans,110,110,70,-36%,Finance - Banking - Loans - Student - Question,Financial Hardship
banks and atms near me,10,50,30,-40%,Finance - Banking - ATM - Near Me,Money Mangement
can you overdraw cash app card,10,50,30,-40%,Finance - Banking - Funds Return - Question,Financial Hardship
do banks waive overdraft fees,20,50,30,-40%,Finance - Banking - Fees,Financial Hardship
can t pay debt,40,50,30,-40%,Finance - Banking - Funds Return - Can't - Debt,Financial Hardship
can you overcharge a debit card,40,50,30,-40%,Finance - Banking - Funds Return - Question,Financial Hardship
how to get bank to waive overdraft fee,50,50,30,-40%,Finance - Banking - Fees - Question,Financial Hardship
how long until i can overdraft,50,50,30,-40%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
payroll tax software for small business,50,70,40,-43%,Finance - Banking Payroll,Financial Hardship
payroll services uk,40,70,40,-43%,Finance - Banking Payroll,Financial Hardship
best credit protection company,40,70,40,-43%,Finance - Banking - Credit - Protection,Financial Hardship
advance tax relief,70,70,40,-43%,Finance - Banking - Tax Relief,Financial Hardship
can i get financial help from the government,20,90,50,-44%,Finance - Banking - Question,Financial Hardship
sick pay benefits,20,90,50,-44%,Finance - Banking - Relief,Financial Hardship
is there a fee to close a bank account,30,90,50,-44%,Finance - Banking - Fees,Financial Hardship
cash points locations near me,70,90,50,-44%,Finance - Banking - ATM - Near Me,Money Mangement
free atm near me now,90,90,50,-44%,Finance - Banking - ATM - Near Me,Money Mangement
banks with no minimum balance fees,90,90,50,-44%,Finance - Banking - Fees,Financial Hardship
can you be arrested for debt,90,90,50,-44%,Finance - Banking - Funds Return - Debt - Question,Financial Hardship
federal help,30,"1,300",720,-45%,Finance - Banking - Relief,Financial Hardship
how to defer a car payment,110,"1,300",720,-45%,Finance - Banking - Relief - Auto - Question,Financial Hardship
federal tax relief,210,"1,300",720,-45%,Finance - Banking - Tax Relief,Financial Hardship
student loans,"246,000","673,000","368,000",-45%,Finance - Banking - Loans - Student,Financial Hardship
small business help,"1,300","27,100","14,800",-45%,Finance - Banking - Relief - Business,Financial Hardship
student loan deferment,"12,100","27,100","14,800",-45%,Finance - Banking - Loans - Student,Financial Hardship
small business payroll taxes,320,880,480,-45%,Finance - Banking Payroll,Financial Hardship
federal student loan payment,"1,600","4,400","2,400",-45%,Finance - Banking - Loans - Student,Financial Hardship
small business loan assistance,10,590,320,-46%,Finance - Banking - Relief - Business,Financial Hardship
how long can you defer student loans,590,590,320,-46%,Finance - Banking - Loans - Student - Question,Financial Hardship
us tax relief,110,480,260,-46%,Finance - Banking - Tax Relief,Financial Hardship
payroll service company,"1,000","2,400","1,300",-46%,Finance - Banking Payroll,Financial Hardship
job loss mortgage insurance,260,720,390,-46%,Finance - Banking - Mortgage,Financial Hardship
can i defer credit card payments,20,390,210,-46%,Finance - Banking - Credit Cards - Defer - Question,Financial Hardship
will banks waive overdraft fees,40,390,210,-46%,Finance - Banking - Fees,Financial Hardship
payroll services new york,110,260,140,-46%,Finance - Banking Payroll,Financial Hardship
how much can i overdraft,210,260,140,-46%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
relief program,720,"5,400","2,900",-46%,Finance - Banking - Relief - Stimulus,Financial Hardship
credit card fee waiver,40,320,170,-47%,Finance - Banking - Credit Cards - Fees,Financial Hardship
payroll services san diego,210,320,170,-47%,Finance - Banking Payroll,Financial Hardship
will i lose my house if i file chapter 13,260,320,170,-47%,Finance - Banking - Bankruptcy,Financial Hardship
if you file for bankruptcy what happens to your house,320,320,170,-47%,Finance - Banking - Bankruptcy,Financial Hardship
ira early withdrawal penalty calculator,320,320,170,-47%,Finance - Banking - Early Withdrawal,Financial Hardship
sick leave benefits,30,170,90,-47%,Finance - Banking - Relief,Financial Hardship
small business loans nyc,210,"3,600","1,900",-47%,Finance - Banking - Relief - Business,Financial Hardship
managing payroll for small business,110,210,110,-48%,Finance - Banking Payroll,Financial Hardship
income help,20,210,110,-48%,Finance - Banking - Relief,Financial Hardship
will credit cards defer payments,10,140,70,-50%,Finance - Banking - Credit Cards - Defer,Financial Hardship
small business payroll software reviews,110,140,70,-50%,Finance - Banking Payroll,Financial Hardship
banks waive atm fees,10,40,20,-50%,Finance - Banking - Fees,Financial Hardship
can you pay auto insurance with credit card,10,40,20,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
quebec payroll,20,20,10,-50%,Finance - Banking Payroll,Financial Hardship
southeast payroll services,30,40,20,-50%,Finance - Banking Payroll,Financial Hardship
source payroll,20,20,10,-50%,Finance - Banking Payroll,Financial Hardship
superior payroll services,10,20,10,-50%,Finance - Banking Payroll,Financial Hardship
atm center near me,10,20,10,-50%,Finance - Banking - ATM - Near Me,Money Mangement
do payment plans help your credit,10,20,10,-50%,Finance - Banking - Credit,Financial Hardship
missed a credit card payment by accident,10,20,10,-50%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
missed minimum payment credit card,10,20,10,-50%,Finance - Banking - Credit Cards - Missed Payment,Financial Hardship
how to skip a credit card payment,10,20,10,-50%,Finance - Banking - Credit Cards - Question,Financial Hardship
penalty for taking ira out early,10,20,10,-50%,Finance - Banking - Early Withdrawal,Financial Hardship
401k plan early withdrawal penalty,10,20,10,-50%,Finance - Banking - Early Withdrawal - 401k,Financial Hardship
can mortgage payments be paid by credit card,10,20,10,-50%,Finance - Banking - Funds Return,Financial Hardship
laid off can t pay bills,10,20,10,-50%,Finance - Banking - Funds Return - Can't,Financial Hardship
i can t pay my credit card this month,10,20,10,-50%,Finance - Banking - Funds Return - Can't,Financial Hardship
i have debts i can t pay,10,20,10,-50%,Finance - Banking - Funds Return - Can't - Debt,Financial Hardship
what if i can t pay my credit card minimum,10,20,10,-50%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
what if you can t pay your credit card debt,10,20,10,-50%,Finance - Banking - Funds Return - Can't - Question - Debt,Financial Hardship
what happens if can t pay credit card debt,10,20,10,-50%,Finance - Banking - Funds Return - Can't - Question - Debt,Financial Hardship
can not pay credit card debt,10,20,10,-50%,Finance - Banking - Funds Return - Debt,Financial Hardship
can you be sued for a charged off debt,10,20,10,-50%,Finance - Banking - Funds Return - Debt - Question,Financial Hardship
how much can you overdraft a debit card,10,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
how can i stop overdraft fees,10,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
can i make a mortgage payment with my credit card,10,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can i skip a credit card payment,20,40,20,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you cancel bank of america account online,10,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can i make a car payment with my credit card,20,40,20,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can i pay coned with credit card,10,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you pay your health insurance with a credit card,10,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you pay car insurance with a prepaid card,10,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
do car insurance companies give extensions,10,20,10,-50%,Finance - Banking - Loans - Auto - Question,Financial Hardship
can you get a loan with a negative bank account,10,20,10,-50%,Finance - Banking - Loans - Funds Return - Question,Financial Hardship
can you be arrested for not paying a loan,10,20,10,-50%,Finance - Banking - Loans - Funds Return - Question,Financial Hardship
sallie mae and navient student loan forgiveness,10,20,10,-50%,Finance - Banking - Loans - Student,Financial Hardship
how to prove financial hardship for student loans,10,20,10,-50%,Finance - Banking - Loans - Student - Question,Financial Hardship
how can i get help with my student loans,10,20,10,-50%,Finance - Banking - Loans - Student - Question,Financial Hardship
mortgage protection insurance unemployment cover,10,20,10,-50%,Finance - Banking - Mortgage,Financial Hardship
taxpayer relief program,10,20,10,-50%,Finance - Banking - Tax Relief,Financial Hardship
state income tax relief,10,20,10,-50%,Finance - Banking - Tax Relief,Financial Hardship
how to transfer money from one phone to another,10,20,10,-50%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer mobile number,10,20,10,-50%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money from mobile banking,10,20,10,-50%,Finance - Banking - Transfer Money - Question,Money Mangement
how to transfer money instantly between banks,10,20,10,-50%,Finance - Banking - Transfer Money - Question,Money Mangement
how to find out when you get your tax return,90,140,70,-50%,Finance - Banking - Tax Relief - Question,Financial Hardship
can t pay credit card what to do,30,40,20,-50%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
can t pay credit cards what to do,30,40,20,-50%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
can i overdraft my simple account,30,40,20,-50%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
how can i pay mortgage with credit card,30,40,20,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
free cash machine near me,20,20,10,-50%,Finance - Banking - ATM - Near Me,Money Mangement
can you close a bank account if you owe money,20,20,10,-50%,Finance - Banking - Closing - Question,Financial Hardship
penalty for early withdrawal of retirement funds,20,20,10,-50%,Finance - Banking - Early Withdrawal,Financial Hardship
10 percent penalty for early withdrawal,20,20,10,-50%,Finance - Banking - Early Withdrawal,Financial Hardship
penalty for closing 401k early,20,20,10,-50%,Finance - Banking - Early Withdrawal - 401k,Financial Hardship
penalty on early withdrawal of savings 401k,20,20,10,-50%,Finance - Banking - Early Withdrawal - 401k,Financial Hardship
what is the penalty for drawing 401k early,20,20,10,-50%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
what is my penalty for early 401k withdrawal,20,20,10,-50%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
what is the penalty for taking your 401k early,20,20,10,-50%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
how to get your bank to waive overdraft fees,20,20,10,-50%,Finance - Banking - Fees - Question,Financial Hardship
i can t pay my credit cards anymore,20,20,10,-50%,Finance - Banking - Funds Return - Can't,Financial Hardship
why can t you pay credit with credit,20,20,10,-50%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
what happens when i can t pay my credit card,20,20,10,-50%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
can u go to jail for credit card debt,20,20,10,-50%,Finance - Banking - Funds Return - Debt,Financial Hardship
can bank of america waive overdraft fees,40,40,20,-50%,Finance - Banking - Funds Return - Overdraft,Financial Hardship
banks you can overdraft,20,20,10,-50%,Finance - Banking - Funds Return - Overdraft,Financial Hardship
can i overdraft my usaa checking account,20,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Checking - Question,Financial Hardship
can you overdraft with simple,20,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
how much can i overdraft us bank,20,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
how can you overdraft your bank account,20,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
can a bank waive an overdraft fee,20,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
can u overdraft a savings account,20,20,10,-50%,Finance - Banking - Funds Return - Overdraft - Savings,Financial Hardship
can you pay car note with credit card,140,140,70,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can i overdraw my chase account at the atm,20,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can i pay my gas bill with a credit card,40,40,20,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you withdraw money from a negative account,20,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you go into the negatives with a debit card,20,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you make a car payment on a credit card,20,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can i just stop paying my credit cards,20,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can you make your mortgage payment with a credit card,20,20,10,-50%,Finance - Banking - Funds Return - Question,Financial Hardship
can i have 0 dollars in my savings account,20,20,10,-50%,Finance - Banking - Funds Return - Savings - Question,Financial Hardship
can a savings account go negative,20,20,10,-50%,Finance - Banking - Funds Return - Savings - Question,Financial Hardship
who can help with student loans,20,20,10,-50%,Finance - Banking - Loans - Student - Question,Financial Hardship
how to claim hardship on student loans,20,20,10,-50%,Finance - Banking - Loans - Student - Question,Financial Hardship
how to prove hardship for student loans,20,20,10,-50%,Finance - Banking - Loans - Student - Question,Financial Hardship
how to apply for hardship on student loans,20,20,10,-50%,Finance - Banking - Loans - Student - Question,Financial Hardship
car companies offering 0 financing,50,"1,000",480,-52%,Finance - Banking - Loans - Auto,Financial Hardship
student aid relief,20,110,50,-55%,Finance - Banking - Loans - Student,Financial Hardship
credit theft protection,50,110,50,-55%,Finance - Banking - Credit - Protection,Financial Hardship
how can i get financial help from the government,320,"1,600",720,-55%,Finance - Banking - Relief - Question,Financial Hardship
how to defer student loans,"2,400","2,900","1,300",-55%,Finance - Banking - Loans - Student - Question,Financial Hardship
delay credit card payment,30,720,320,-56%,Finance - Banking - Credit Cards - Delay,Financial Hardship
credit card payment delay,30,720,320,-56%,Finance - Banking - Credit Cards - Delay,Financial Hardship
learn payroll accounting,20,90,40,-56%,Finance - Banking Payroll,Financial Hardship
how to refinance student loans,"2,900","8,100","3,600",-56%,Finance - Banking - Loans - Student - Question,Financial Hardship
accredited debt relief,"8,100","8,100","3,600",-56%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
how much is it to get tested,90,210,90,-57%,Finance - Banking - Relief - Medical - Question,Financial Hardship
what happens if you can t pay credit card bills,40,70,30,-57%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
can you overdraft a credit card at an atm,50,70,30,-57%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
free atm locations near me,70,70,30,-57%,Finance - Banking - ATM - Near Me,Money Mangement
what if i can t pay my credit card bill,90,260,110,-58%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
credit associates debt relief,140,170,70,-59%,Finance - Banking - Credit - Relief - Debt,Financial Hardship
custom payroll services,10,50,20,-60%,Finance - Banking Payroll,Financial Hardship
credit cards with deferred payments,10,50,20,-60%,Finance - Banking - Credit Cards - Defer,Financial Hardship
can i defer a credit card payment,10,50,20,-60%,Finance - Banking - Credit Cards - Defer - Question,Financial Hardship
how can you overdraft a debit card,40,50,20,-60%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
what's the tax penalty for withdrawing 401k early,50,50,20,-60%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
online payroll system,"1,000","1,000",390,-61%,Finance - Banking Payroll,Financial Hardship
income tax relief,320,"1,300",480,-63%,Finance - Banking - Tax Relief,Financial Hardship
can you pay capital one with debit card,40,110,40,-64%,Finance - Banking - Funds Return - Question,Financial Hardship
student loan cancellation 2020,20,720,260,-64%,Finance - Banking - Loans - Student,Financial Hardship
how to stop student loan payments,10,390,140,-64%,Finance - Banking - Loans - Student - Question,Financial Hardship
financial help for small business owners,10,390,140,-64%,Finance - Banking - Relief - Business,Financial Hardship
foreclosure relief,50,390,140,-64%,Finance - Banking - Mortgage - Forbearance,Financial Hardship
can you file chapter 13 and keep your house,390,390,140,-64%,Finance - Banking - Bankruptcy,Financial Hardship
department of education announcements,10,140,50,-64%,Finance - Banking - Defer,Financial Hardship
bank atm near me now,140,140,50,-64%,Finance - Banking - ATM - Near Me,Money Mangement
what is a payroll tax credit,10,590,210,-64%,Finance - Banking - Tax Relief - Question,Financial Hardship
federal tax deferral,20,480,170,-65%,Finance - Banking - Tax Relief,Financial Hardship
business assistance program,40,480,170,-65%,Finance - Banking - Business,Financial Hardship
can you go to jail for credit card debt,390,480,170,-65%,Finance - Banking - Funds Return - Debt - Question,Financial Hardship
deferred payment credit card,110,"5,400","1,900",-65%,Finance - Banking - Credit Cards - Defer,Financial Hardship
tax penalty for early ira withdrawal,260,260,90,-65%,Finance - Banking - Early Withdrawal,Financial Hardship
emergency financial assistance,"1,000","2,900","1,000",-66%,Finance - Banking - Finance,Financial Hardship
can a mortgage payment be made with a credit card,10,30,10,-67%,Finance - Banking - Funds Return - Question,Financial Hardship
where to get financial help from government,10,30,10,-67%,Finance - Banking - Relief - Question,Financial Hardship
tax rebate payment,10,30,10,-67%,Finance - Banking - Tax Relief,Financial Hardship
can you defer your tax payment,10,30,10,-67%,Finance - Banking - Tax Relief - Question,Financial Hardship
payroll services phoenix,70,210,70,-67%,Finance - Banking Payroll,Financial Hardship
can i close my bank account with a negative balance,20,30,10,-67%,Finance - Banking - Closing - Question,Financial Hardship
penalty for cashing in ira early,20,30,10,-67%,Finance - Banking - Early Withdrawal,Financial Hardship
when you can t pay your credit cards,20,30,10,-67%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
how long can a checking account be negative,20,30,10,-67%,Finance - Banking - Funds Return - Checking - Question,Financial Hardship
how much can i overdraft my fifth third account,20,30,10,-67%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
trumps student loan forgiveness,20,30,10,-67%,Finance - Banking - Loans - Student,Financial Hardship
financial help when you can t work,20,30,10,-67%,Finance - Banking - Relief - Unemployment - Question,Financial Hardship
how to send money to someone instantly,20,30,10,-67%,Finance - Banking - Transfer Money - Question,Money Mangement
what's the penalty for 401k early withdrawal,70,90,30,-67%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
nearest cash point near me,90,90,30,-67%,Finance - Banking - ATM - Near Me,Money Mangement
can you keep your house in chapter 7,210,210,70,-67%,Finance - Banking - Bankruptcy,Financial Hardship
can t afford minimum credit card payments,30,30,10,-67%,Finance - Banking - Funds Return - Can't,Financial Hardship
can a checking account go negative,30,30,10,-67%,Finance - Banking - Funds Return - Checking,Financial Hardship
how much can you overdraft your account,30,30,10,-67%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
can you get cash back on overdraft,30,30,10,-67%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
how to file for financial hardship on student loans,30,30,10,-67%,Finance - Banking - Loans - Student - Question,Financial Hardship
how to apply for hardship for student loans,30,30,10,-67%,Finance - Banking - Loans - Student - Question,Financial Hardship
how to apply for financial hardship for student loans,30,30,10,-67%,Finance - Banking - Loans - Student - Question,Financial Hardship
where can i pay my capital one bill,90,170,50,-71%,Finance - Banking - Funds Return - Question,Financial Hardship
government tax relief,70,720,210,-71%,Finance - Banking - Tax Relief,Financial Hardship
financial relief,170,"6,600","1,900",-71%,Finance - Banking - Relief,Financial Hardship
payroll services in india,20,70,20,-71%,Finance - Banking Payroll,Financial Hardship
payroll legislation,20,70,20,-71%,Finance - Banking Payroll,Financial Hardship
can you skip a car lease payment,30,70,20,-71%,Finance - Banking - Loans - Auto - Question,Financial Hardship
trump debt relief,40,70,20,-71%,Finance - Banking - Debt - Relief - Debt,Financial Hardship
financial help for small businesses in trouble,40,320,90,-72%,Finance - Banking - Relief - Business,Financial Hardship
financial help for families,260,"1,900",480,-75%,Finance - Banking - Relief,Financial Hardship
what is the penalty on early withdrawal of 401k,10,40,10,-75%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
how to file hardship on student loans,10,40,10,-75%,Finance - Banking - Loans - Student - Question,Financial Hardship
does mortgage insurance cover unemployment,10,40,10,-75%,Finance - Banking - Mortgage,Financial Hardship
small business financial hardship,10,40,10,-75%,Finance - Banking - Relief - Business,Financial Hardship
insurance to pay mortgage if unemployed,20,40,10,-75%,Finance - Banking - Mortgage,Financial Hardship
bookkeeping software with payroll,90,210,50,-76%,Finance - Banking Payroll,Financial Hardship
having financial hardship,10,170,40,-76%,Finance - Banking - Relief - Hardship,Financial Hardship
what is the penalty for taking out 401k early,140,170,40,-76%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
will credit card companies defer payments,20,390,90,-77%,Finance - Banking - Credit Cards - Defer,Financial Hardship
help for business owners,20,390,90,-77%,Finance - Banking - Relief - Business,Financial Hardship
credit card relief services,20,90,20,-78%,Finance - Banking - Credit - Relief,Financial Hardship
what's the penalty for early 401k withdrawal,50,90,20,-78%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
how much can i overdraft my bank of america account,90,90,20,-78%,Finance - Banking - Funds Return - Overdraft - Question,Financial Hardship
can t pay bills this month,90,320,70,-78%,Finance - Banking - Funds Return - Can't,Financial Hardship
government support for small business,20,"1,000",210,-79%,Finance - Banking - Relief - Business,Financial Hardship
revenue canada payroll,50,50,10,-80%,Finance - Banking Payroll,Financial Hardship
payroll solutions canada,20,50,10,-80%,Finance - Banking Payroll,Financial Hardship
business payroll tax relief,10,50,10,-80%,Finance - Banking - Tax Relief,Financial Hardship
atm machine near me now,50,50,10,-80%,Finance - Banking - ATM - Near Me,Money Mangement
payroll software for small business,"3,600","18,100","3,600",-80%,Finance - Banking Payroll,Financial Hardship
closest atm machine near me,140,260,50,-81%,Finance - Banking - ATM - Near Me,Money Mangement
payroll tax,"22,200","368,000","60,500",-84%,Finance - Banking Payroll,Financial Hardship
will student loans be forgiven 2020,70,"3,600",590,-84%,Finance - Banking - Loans - Student,Financial Hardship
government financial help,70,"5,400",880,-84%,Finance - Banking - Relief,Financial Hardship
can you close a bank account with an overdraft,30,70,10,-86%,Finance - Banking - Closing - Question,Financial Hardship
nearest atm machine near me,90,140,20,-86%,Finance - Banking - ATM - Near Me,Money Mangement
2020 shutdown,20,"1,300",170,-87%,Finance - Banking - News,Financial Hardship
federal government small business assistance,10,390,50,-87%,Finance - Banking - Loans - Business,Financial Hardship
interest waiver,30,390,50,-87%,Finance - Banking - Relief,Financial Hardship
president trump and student loans,70,390,50,-87%,Finance - Banking - Loans - Student,Financial Hardship
defer tax payment,210,"8,100","1,000",-88%,Finance - Banking - Tax Relief - Defer,Financial Hardship
deferred money,20,170,20,-88%,Finance - Banking - Defer,Financial Hardship
government assistance for business owners,10,90,10,-89%,Finance - Banking - Relief - Business,Financial Hardship
car payment relief program,10,480,50,-90%,Finance - Banking - Loans - Auto,Financial Hardship
what is the penalty for early withdrawal 401k,70,110,10,-91%,Finance - Banking - Early Withdrawal - Question - 401k,Financial Hardship
student loan forgiveness trump,"12,100","135,000","9,900",-93%,Finance - Banking - Loans - Student,Financial Hardship
small business assistance,210,"90,500","6,600",-93%,Finance - Banking - Relief - Business,Financial Hardship
government financial support,30,"1,000",70,-93%,Finance - Banking - Relief,Financial Hardship
tax suspension,10,480,30,-94%,Finance - Banking - Tax,Financial Hardship
what is the paid sick leave law,10,170,10,-94%,Finance - Banking - Relief - Question,Financial Hardship
paid leave bill,20,"8,100",110,-99%,Finance - Banking - Relief,Financial Hardship
deferred payment case,10,10,,-100%,Finance - Banking - Defer,Financial Hardship
i can t afford my loan repayments,10,10,,-100%,Finance - Banking - Funds Return - Can't,Financial Hardship
can t pay credit cards what do i do,10,10,,-100%,Finance - Banking - Funds Return - Can't - Question,Financial Hardship
can i switch bank accounts if i have a loan,10,10,,-100%,Finance - Banking - Loans - Closing - Question,Financial Hardship
how can i use mobile banking,10,10,,-100%,Finance - Banking - Mobile App - Question,Money Mangement
i need financial help from the government,10,10,,-100%,Finance - Banking - Relief,Financial Hardship
i need money to help pay my bills,10,10,,-100%,Finance - Banking - Relief,Financial Hardship
help with bills while on medical leave,10,10,,-100%,Finance - Banking - Relief - Medical,Financial Hardship
medical leave financial assistance,10,10,,-100%,Finance - Banking - Relief - Medical,Financial Hardship
